,ot_alliri,ot_classiri,ot_proertyiri
47,http://energy.linkeddata.es/em-kpi/ontology#PerformanceGoal,http://energy.linkeddata.es/em-kpi/ontology#PerformanceGoal,http://energy.linkeddata.es/em-kpi/ontology#isBehaviorOf
48,http://energy.linkeddata.es/em-kpi/ontology#PhotovoltaicGeneratingUnit,http://energy.linkeddata.es/em-kpi/ontology#PhotovoltaicGeneratingUnit,http://energy.linkeddata.es/em-kpi/ontology#isBuildingTypeOf
49,http://energy.linkeddata.es/em-kpi/ontology#PhotovoltaicType,http://energy.linkeddata.es/em-kpi/ontology#PhotovoltaicType,http://energy.linkeddata.es/em-kpi/ontology#isCalculationComponentOf
50,http://energy.linkeddata.es/em-kpi/ontology#Pipe,http://energy.linkeddata.es/em-kpi/ontology#Pipe,http://energy.linkeddata.es/em-kpi/ontology#isCalculationModelOf
51,http://energy.linkeddata.es/em-kpi/ontology#PowerDeliveryUnit,http://energy.linkeddata.es/em-kpi/ontology#PowerDeliveryUnit,http://energy.linkeddata.es/em-kpi/ontology#isCalculationOf
52,http://energy.linkeddata.es/em-kpi/ontology#PowerEquipment,http://energy.linkeddata.es/em-kpi/ontology#PowerEquipment,http://energy.linkeddata.es/em-kpi/ontology#isComposedBy
53,http://energy.linkeddata.es/em-kpi/ontology#PowerSystemResource,http://energy.linkeddata.es/em-kpi/ontology#PowerSystemResource,http://energy.linkeddata.es/em-kpi/ontology#isConstantOf
54,http://energy.linkeddata.es/em-kpi/ontology#Pump,http://energy.linkeddata.es/em-kpi/ontology#Pump,http://energy.linkeddata.es/em-kpi/ontology#isDeterminantOf
55,http://energy.linkeddata.es/em-kpi/ontology#RenewableGeneratingUnit,http://energy.linkeddata.es/em-kpi/ontology#RenewableGeneratingUnit,http://energy.linkeddata.es/em-kpi/ontology#isDirectionOf
56,http://energy.linkeddata.es/em-kpi/ontology#Roof,http://energy.linkeddata.es/em-kpi/ontology#Roof,http://energy.linkeddata.es/em-kpi/ontology#isDisaggregationOf
57,http://energy.linkeddata.es/em-kpi/ontology#Stakeholder,http://energy.linkeddata.es/em-kpi/ontology#Stakeholder,http://energy.linkeddata.es/em-kpi/ontology#isEndOf
58,http://energy.linkeddata.es/em-kpi/ontology#StoringUnit,http://energy.linkeddata.es/em-kpi/ontology#StoringUnit,http://energy.linkeddata.es/em-kpi/ontology#isEquationOf
59,http://energy.linkeddata.es/em-kpi/ontology#StrategicKPI,http://energy.linkeddata.es/em-kpi/ontology#StrategicKPI,http://energy.linkeddata.es/em-kpi/ontology#isEquipmentTypeOf
60,http://energy.linkeddata.es/em-kpi/ontology#Substation,http://energy.linkeddata.es/em-kpi/ontology#Substation,http://energy.linkeddata.es/em-kpi/ontology#isEvaluationTimeStepOf
61,http://energy.linkeddata.es/em-kpi/ontology#TacticalKPI,http://energy.linkeddata.es/em-kpi/ontology#TacticalKPI,http://energy.linkeddata.es/em-kpi/ontology#isExperiencedBy
62,http://energy.linkeddata.es/em-kpi/ontology#ThermalComfort,http://energy.linkeddata.es/em-kpi/ontology#ThermalComfort,http://energy.linkeddata.es/em-kpi/ontology#isExtWallOf
63,http://energy.linkeddata.es/em-kpi/ontology#UniversalConstant,http://energy.linkeddata.es/em-kpi/ontology#UniversalConstant,http://energy.linkeddata.es/em-kpi/ontology#isExtWindowOf
64,http://energy.linkeddata.es/em-kpi/ontology#VisualComfort,http://energy.linkeddata.es/em-kpi/ontology#VisualComfort,http://energy.linkeddata.es/em-kpi/ontology#isFeatureOfInterestOf
65,http://energy.linkeddata.es/em-kpi/ontology#WeatherForecast,http://energy.linkeddata.es/em-kpi/ontology#WeatherForecast,http://energy.linkeddata.es/em-kpi/ontology#isForecastOf
