DATE,TIMESTAMP,LOCATION,ENERGY_SOURCE,MEASURE,UNIT_OF_MEASURE,INTERVAL,VALUE
5.09.2021 ,5.09.2021 04:59,Atlantis waterpark,HVAC KN2,Supply temp,C,S,139
9.09.2021 ,9.09.2021 18:10,Atlantis waterpark,HVAC KN3,freq converter,%,S,80
13.09.2021,13.09.2021 17:10,Atlantis waterpark,HVAC KN9,Extract temp,C,S,3027
27.08.2021,27.08.2021 06:41,Atlantis waterpark,HVAC KN5,Supply temp,C,S,1701
11.08.2021,11.08.2021 10:38,Atlantis waterpark,HVAC KN5,Supply temp,C,S,2538
16.09.2021,16.09.2021 00:41,Atlantis waterpark,HVAC KN5,load extract ventilator,%,S,80
10.08.2021,10.08.2021 02:52,Atlantis waterpark,HVAC KN5,Supply temp,C,S,2161
24.08.2021,24.08.2021 19:07,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2823
3.09.2021 ,3.09.2021 13:02,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2318
14.09.2021,14.09.2021 17:40,Atlantis waterpark,HVAC KN9,Supply vent,N,S,
6.09.2021 ,6.09.2021 06:57,Atlantis waterpark,HVAC KN5,Extract temp,C,S,2592
5.09.2021 ,5.09.2021 00:45,Atlantis waterpark,HVAC KN3,Extract temp,C,S,2435
24.08.2021,24.08.2021 13:30,Atlantis waterpark,HVAC KN6,Supply temp,C,S,2321
20.09.2021,20.09.2021 07:11,Atlantis waterpark,HVAC KN3,freq converter,%,S,80
16.08.2021,16.08.2021 15:38,Atlantis waterpark,HVAC KN3,Supply temp,C,S,332
31.08.2021,31.08.2021 12:27,Atlantis waterpark,HVAC KN5,Supply temp,C,S,1984
7.09.2021 ,7.09.2021 05:24,Atlantis waterpark,HVAC KN2,Supply temp,C,S,1304
17.08.2021,17.08.2021 21:34,Atlantis waterpark,HVAC KN3,Supply temp,C,S,201
22.08.2021,22.08.2021 17:50,Atlantis waterpark,HVAC KN6,Supply temp,C,S,2866
17.09.2021,17.09.2021 17:41,Atlantis waterpark,HVAC KN8,Supply temp,C,S,1922
19.09.2021,19.09.2021 12:03,Atlantis waterpark,HVAC KN2,Extract vent,N,S,1
31.08.2021,31.08.2021 21:20,Atlantis waterpark,HVAC KN2,Supply temp,C,S,1981
21.09.2021,21.09.2021 12:41,Atlantis waterpark,HVAC KN4,Extract temp,C,S,2475
11.08.2021,11.08.2021 09:37,Atlantis waterpark,HVAC KN5,Supply temp,C,S,2398
21.08.2021,21.08.2021 04:40,Atlantis waterpark,HVAC KN6,Supply temp,C,S,1824
1.09.2021 ,1.09.2021 01:18,Atlantis waterpark,HVAC KN5,Supply temp,C,S,1861
23.08.2021,23.08.2021 16:37,Atlantis waterpark,HVAC KN3,Extract temp,C,S,2338
20.08.2021,20.08.2021 16:06,Atlantis waterpark,HVAC KN6,Supply temp,C,S,28
26.08.2021,26.08.2021 22:48,Atlantis waterpark,HVAC KN6,Supply temp,C,S,179
18.08.2021,18.08.2021 09:58,Atlantis waterpark,HVAC KN5,Supply temp,C,S,2047
7.09.2021 ,7.09.2021 01:33,Atlantis waterpark,HVAC KN6,Extract temp,C,S,2532
18.08.2021,18.08.2021 20:00,Atlantis waterpark,HVAC KN6,Supply temp,C,S,2349
22.08.2021,22.08.2021 12:58,Atlantis waterpark,HVAC KN4,Supply temp,C,S,2794
9.08.2021 ,9.08.2021 12:00,Atlantis waterpark,HVAC KN4,Supply temp,C,S,2463
20.09.2021,20.09.2021 23:41,Atlantis waterpark,HVAC KN8,Extract temp,C,S,2764
12.09.2021,12.09.2021 04:10,Atlantis waterpark,HVAC KN3,freq converter,%,S,80
22.08.2021,22.08.2021 13:20,Atlantis waterpark,HVAC KN6,Supply temp,C,S,2854
23.08.2021,23.08.2021 15:08,Atlantis waterpark,HVAC KN6,Supply temp,C,S,1881
20.09.2021,20.09.2021 06:11,Atlantis waterpark,HVAC KN9,Extract temp,C,S,2905
6.09.2021 ,6.09.2021 10:48,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2058
5.09.2021 ,5.09.2021 11:37,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2284
16.09.2021,16.09.2021 20:11,Atlantis waterpark,HVAC KN4,load supply ventilator,%,S,80
28.08.2021,28.08.2021 13:57,Atlantis waterpark,HVAC KN6,Supply temp,C,S,1815
17.08.2021,17.08.2021 15:01,Atlantis waterpark,HVAC KN4,Supply temp,C,S,2529
27.08.2021,27.08.2021 00:29,Atlantis waterpark,HVAC KN6,Supply temp,C,S,1721
10.09.2021,10.09.2021 11:10,Atlantis waterpark,HVAC KN8,Extract temp,C,S,2832
4.09.2021 ,4.09.2021 10:40,Atlantis waterpark,HVAC KN2,Supply temp,C,S,193
18.09.2021,18.09.2021 17:11,Atlantis waterpark,HVAC KN3,Extract temp,C,S,25
30.08.2021,30.08.2021 05:33,Atlantis waterpark,HVAC KN5,Extract temp,C,S,2552
20.08.2021,20.08.2021 16:52,Atlantis waterpark,HVAC KN4,Supply temp,C,S,288
16.09.2021,16.09.2021 02:11,Atlantis waterpark,HVAC KN5,load extract ventilator,%,S,80
27.08.2021,27.08.2021 14:58,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2672
14.09.2021,14.09.2021 12:40,Atlantis waterpark,HVAC KN9,Extract temp,C,S,3012
9.09.2021 ,9.09.2021 16:40,Atlantis waterpark,HVAC KN9,Supply vent,N,S,
17.08.2021,17.08.2021 15:35,Atlantis waterpark,HVAC KN5,Supply temp,C,S,2566
13.08.2021,13.08.2021 12:21,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2977
7.09.2021 ,7.09.2021 01:35,Atlantis waterpark,HVAC KN2,Supply temp,C,S,157
19.09.2021,19.09.2021 08:41,Atlantis waterpark,HVAC KN8,Supply temp,C,S,1509
2.09.2021 ,2.09.2021 17:46,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2663
18.08.2021,18.08.2021 14:15,Atlantis waterpark,HVAC KN6,Supply temp,C,S,2466
15.09.2021,15.09.2021 00:10,Atlantis waterpark,HVAC KN4,Extract temp,C,S,2615
24.08.2021,24.08.2021 16:23,Atlantis waterpark,HVAC KN6,Supply temp,C,S,2555
15.09.2021,15.09.2021 14:40,Atlantis waterpark,HVAC KN6,Extract temp,C,S,2806
22.09.2021,22.09.2021 02:41,Atlantis waterpark,HVAC KN9,load supply ventilator,%,S,60
11.09.2021,11.09.2021 20:40,Atlantis waterpark,HVAC KN2,Extract temp,C,S,26
21.09.2021,21.09.2021 15:11,Atlantis waterpark,HVAC KN6,load extract ventilator,%,S,800000
17.09.2021,17.09.2021 00:41,Atlantis waterpark,HVAC KN8,Extract temp,C,S,283
19.09.2021,19.09.2021 05:11,Atlantis waterpark,HVAC KN6,Extract temp,C,S,2609
24.08.2021,24.08.2021 14:46,Atlantis waterpark,HVAC KN4,Supply temp,C,S,2458
25.08.2021,25.08.2021 02:19,Atlantis waterpark,HVAC KN6,Supply temp,C,S,191
25.08.2021,25.08.2021 15:13,Atlantis waterpark,HVAC KN6,Supply temp,C,S,2429
18.08.2021,18.08.2021 10:27,Atlantis waterpark,HVAC KN3,Supply temp,C,S,2052
15.08.2021,15.08.2021 08:07,Atlantis waterpark,HVAC KN5,Supply temp,C,S,2272
16.08.2021,16.08.2021 22:41,Atlantis waterpark,HVAC KN6,Supply temp,C,S,2646
19.08.2021,19.08.2021 13:36,Atlantis waterpark,HVAC KN6,Supply temp,C,S,2606
18.09.2021,18.09.2021 00:11,Atlantis waterpark,HVAC KN4,load extract ventilator,%,S,80
21.08.2021,21.08.2021 08:41,Atlantis waterpark,HVAC KN5,Supply temp,C,S,1941
22.08.2021,22.08.2021 05:27,Atlantis waterpark,HVAC KN4,Supply temp,C,S,1892
15.09.2021,15.09.2021 17:40,Atlantis waterpark,HVAC KN9,Supply vent,N,S,
18.09.2021,18.09.2021 06:11,Atlantis waterpark,HVAC KN5,load extract ventilator,%,S,80
15.08.2021,15.08.2021 10:52,Atlantis waterpark,HVAC KN6,Supply temp,C,S,2646
19.09.2021,19.09.2021 04:41,Atlantis waterpark,HVAC KN5,load extract ventilator,%,S,80
4.09.2021 ,4.09.2021 00:46,Atlantis waterpark,HVAC KN5,Extract temp,C,S,2592
14.08.2021,14.08.2021 02:43,Atlantis waterpark,HVAC KN3,Extract temp,C,S,2495
22.08.2021,22.08.2021 19:41,Atlantis waterpark,HVAC KN4,Supply temp,C,S,2723
16.08.2021,16.08.2021 17:44,Atlantis waterpark,HVAC KN6,Supply temp,C,S,32
14.08.2021,14.08.2021 09:56,Atlantis waterpark,HVAC KN6,Supply temp,C,S,2518
7.09.2021 ,7.09.2021 05:57,Atlantis waterpark,HVAC KN3,Extract temp,C,S,2426
2.09.2021 ,2.09.2021 12:26,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2626
12.08.2021,12.08.2021 13:22,Atlantis waterpark,HVAC KN4,Supply temp,C,S,2894
27.08.2021,27.08.2021 21:10,Atlantis waterpark,HVAC KN5,Supply temp,C,S,1935
19.09.2021,19.09.2021 19:11,Atlantis waterpark,HVAC KN4,load extract ventilator,%,S,80
21.08.2021,21.08.2021 01:05,Atlantis waterpark,HVAC KN6,Supply temp,C,S,2069
17.08.2021,17.08.2021 18:30,Atlantis waterpark,HVAC KN3,Supply temp,C,S,2312
31.08.2021,31.08.2021 02:06,Atlantis waterpark,HVAC KN2,Supply temp,C,S,1493
16.08.2021,16.08.2021 16:03,Atlantis waterpark,HVAC KN3,Supply temp,C,S,3271
26.08.2021,26.08.2021 10:34,Atlantis waterpark,HVAC KN4,Supply temp,C,S,1724
12.09.2021,12.09.2021 18:40,Atlantis waterpark,HVAC KN9,Supply temp,C,S,2567
17.08.2021,17.08.2021 00:28,Atlantis waterpark,HVAC KN3,Supply temp,C,S,2204
5.09.2021 ,5.09.2021 10:52,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2495
17.08.2021,17.08.2021 02:22,Atlantis waterpark,HVAC KN3,Supply temp,C,S,199
14.09.2021,14.09.2021 17:10,Atlantis waterpark,HVAC KN5,load extract ventilator,%,S,80
11.09.2021,11.09.2021 07:40,Atlantis waterpark,HVAC KN4,load supply ventilator,%,S,80
3.09.2021 ,3.09.2021 13:24,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2366
19.09.2021,19.09.2021 21:41,Atlantis waterpark,HVAC KN8,Extract temp,C,S,2783
6.09.2021 ,6.09.2021 09:27,Atlantis waterpark,HVAC KN5,Extract temp,C,S,2598
21.09.2021,21.09.2021 21:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2483
11.08.2021,11.08.2021 15:09,Atlantis waterpark,HVAC KN2,Supply temp,C,S,3031
16.08.2021,16.08.2021 13:24,Atlantis waterpark,HVAC KN4,Supply temp,C,S,3108
15.09.2021,15.09.2021 05:40,Atlantis waterpark,HVAC KN5,load extract ventilator,%,S,80
14.09.2021,14.09.2021 23:40,Atlantis waterpark,HVAC KN4,load extract ventilator,%,S,80
10.09.2021,10.09.2021 01:40,Atlantis waterpark,HVAC KN9,load supply ventilator,%,S,60
17.08.2021,17.08.2021 18:15,Atlantis waterpark,HVAC KN3,Supply temp,C,S,2284
18.08.2021,18.08.2021 13:01,Atlantis waterpark,HVAC KN3,Supply temp,C,S,2386
13.08.2021,13.08.2021 13:51,Atlantis waterpark,HVAC KN3,Supply temp,C,S,2977
2.09.2021 ,2.09.2021 15:57,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2732
17.08.2021,17.08.2021 19:08,Atlantis waterpark,HVAC KN3,Supply temp,C,S,2224
7.09.2021 ,7.09.2021 22:01,Atlantis waterpark,HVAC KN5,Extract temp,C,S,2626
14.08.2021,14.08.2021 18:47,Atlantis waterpark,HVAC KN4,Supply temp,C,S,3288
26.08.2021,26.08.2021 11:45,Atlantis waterpark,HVAC KN6,Supply temp,C,S,1935
14.08.2021,14.08.2021 22:00,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2797
16.08.2021,16.08.2021 16:28,Atlantis waterpark,HVAC KN6,Supply temp,C,S,3265
13.09.2021,13.09.2021 03:10,Atlantis waterpark,HVAC KN5,load supply ventilator,%,S,80
15.09.2021,15.09.2021 22:10,Atlantis waterpark,HVAC KN8,Extract temp,C,S,2852
4.09.2021 ,4.09.2021 02:56,Atlantis waterpark,HVAC KN5,Extract temp,C,S,2603
13.09.2021,13.09.2021 20:40,Atlantis waterpark,HVAC KN3,freq converter,%,S,80
18.08.2021,18.08.2021 13:27,Atlantis waterpark,HVAC KN3,Supply temp,C,S,2438
3.09.2021 ,3.09.2021 19:18,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2626
19.09.2021,19.09.2021 10:11,Atlantis waterpark,HVAC KN4,load extract ventilator,%,S,80
22.09.2021,22.09.2021 00:28,Atlantis waterpark,HVAC KN4,Extract vent,N,S,1
10.08.2021,10.08.2021 10:41,Atlantis waterpark,HVAC KN3,Supply temp,C,S,2335
25.08.2021,25.08.2021 11:16,Atlantis waterpark,HVAC KN4,Supply temp,C,S,2112
12.08.2021,12.08.2021 17:45,Atlantis waterpark,HVAC KN6,Supply temp,C,S,3074
15.08.2021,15.08.2021 22:09,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2706
9.09.2021 ,9.09.2021 01:10,Atlantis waterpark,HVAC KN6,Extract temp,C,S,2538
9.08.2021 ,9.08.2021 13:30,Atlantis waterpark,HVAC KN3,Supply temp,C,S,2643
19.08.2021,19.08.2021 06:12,Atlantis waterpark,HVAC KN3,Supply temp,C,S,1459
11.08.2021,11.08.2021 12:51,Atlantis waterpark,HVAC KN3,Supply temp,C,S,2923
31.08.2021,31.08.2021 14:37,Atlantis waterpark,HVAC KN6,load extract ventilator,%,S,800000
